timestamp,utc,typecode,callsign,d_time,latitude,longitude,altitude,groundspeed,track,vertical_rate
1719124915,2024-06-23T06:41:55Z,B738,TRA57M,10.0,39.906254,4.228149,2050,206,10,1800.0
1719124925,2024-06-23T06:42:05Z,B738,TRA57M,10.0,39.915798,4.230225,2350,220,9,1800.0
1719124938,2024-06-23T06:42:18Z,B738,TRA57M,13.0,39.929996,4.233294,2825,239,9,2200.0
1719124951,2024-06-23T06:42:31Z,B738,TRA57M,13.0,39.944427,4.236415,3400,251,9,2700.0
1719124981,2024-06-23T06:43:01Z,B738,TRA57M,30.0,39.980896,4.244446,4950,271,9,3100.0
1719124990,2024-06-23T06:43:10Z,B738,TRA57M,9.0,39.989769,4.246341,5425,276,9,3200.0
1719125005,2024-06-23T06:43:25Z,B738,TRA57M,15.0,40.011292,4.250916,6400,277,9,3900.0
1719125020,2024-06-23T06:43:40Z,B738,TRA57M,15.0,40.030735,4.255205,7425,276,9,4100.0
1719125035,2024-06-23T06:43:55Z,B738,TRA57M,15.0,40.049103,4.259705,8400,274,11,3900.0
1719125051,2024-06-23T06:44:11Z,B738,TRA57M,16.0,40.068649,4.264526,9350,275,10,3600.0
1719125066,2024-06-23T06:44:26Z,B738,TRA57M,15.0,40.087692,4.269043,10200,278,10,3400.0
1719125080,2024-06-23T06:44:40Z,B738,TRA57M,14.0,40.106243,4.273245,10700,292,9,2100.0
1719125096,2024-06-23T06:44:56Z,B738,TRA57M,16.0,40.129211,4.278381,11000,317,9,1100.0
1719125111,2024-06-23T06:45:11Z,B738,TRA57M,15.0,40.151917,4.283569,11375,337,10,1500.0
1719125126,2024-06-23T06:45:26Z,B738,TRA57M,15.0,40.175232,4.289038,12000,348,10,2500.0
1719125160,2024-06-23T06:46:00Z,B738,TRA57M,34.0,40.228813,4.301959,13725,356,10,3000.0
1719125189,2024-06-23T06:46:29Z,B738,TRA57M,29.0,40.27739,4.313477,15175,361,10,3000.0
1719125223,2024-06-23T06:47:03Z,B738,TRA57M,34.0,40.332733,4.326538,17000,360,10,3200.0
1719125256,2024-06-23T06:47:36Z,B738,TRA57M,33.0,40.387253,4.339539,18550,362,10,2800.0
1719125290,2024-06-23T06:48:10Z,B738,TRA57M,34.0,40.443977,4.35302,19800,373,10,2200.0
1719125321,2024-06-23T06:48:41Z,B738,TRA57M,31.0,40.496613,4.365662,20925,381,10,2200.0
1719125352,2024-06-23T06:49:12Z,B738,TRA57M,31.0,40.552631,4.379175,22175,386,10,2400.0
1719125383,2024-06-23T06:49:43Z,B738,TRA57M,31.0,40.606247,4.391907,23325,389,10,2200.0
1719125416,2024-06-23T06:50:16Z,B738,TRA57M,33.0,40.665195,4.405954,24325,399,10,1800.0
1719125449,2024-06-23T06:50:49Z,B738,TRA57M,33.0,40.727005,4.420715,25200,410,10,1600.0
1719125482,2024-06-23T06:51:22Z,B738,TRA57M,33.0,40.788326,4.435543,26150,415,10,1700.0
1719125516,2024-06-23T06:51:56Z,B738,TRA57M,34.0,40.852661,4.451086,27200,418,10,1900.0
1719125546,2024-06-23T06:52:26Z,B738,TRA57M,30.0,40.910751,4.465088,28050,422,10,1700.0
1719125579,2024-06-23T06:52:59Z,B738,TRA57M,33.0,40.974628,4.480487,28925,426,10,1600.0
1719125612,2024-06-23T06:53:32Z,B738,TRA57M,33.0,41.037289,4.495531,29750,428,10,1500.0
1719125644,2024-06-23T06:54:04Z,B738,TRA57M,32.0,41.101318,4.511047,30550,431,10,1500.0
1719125677,2024-06-23T06:54:37Z,B738,TRA57M,33.0,41.166229,4.526917,31550,427,10,1800.0
1719125711,2024-06-23T06:55:11Z,B738,TRA57M,34.0,41.23048,4.542597,32425,426,10,1500.0
1719125744,2024-06-23T06:55:44Z,B738,TRA57M,33.0,41.292801,4.557861,33175,425,10,1400.0
1719125774,2024-06-23T06:56:14Z,B738,TRA57M,30.0,41.353889,4.572809,33875,426,10,1400.0
1719125807,2024-06-23T06:56:47Z,B738,TRA57M,33.0,41.41785,4.586664,34600,420,5,1300.0
1719125841,2024-06-23T06:57:21Z,B738,TRA57M,34.0,41.48172,4.59035,35425,414,2,1500.0
1719125873,2024-06-23T06:57:53Z,B738,TRA57M,32.0,41.543015,4.593783,36150,410,2,1400.0
1719125905,2024-06-23T06:58:25Z,B738,TRA57M,32.0,41.604805,4.597331,36650,410,2,900.0
1719125938,2024-06-23T06:58:58Z,B738,TRA57M,33.0,41.666061,4.600962,36925,418,2,500.0
1719125971,2024-06-23T06:59:31Z,B738,TRA57M,33.0,41.730377,4.60477,37275,422,2,600.0
1719126003,2024-06-23T07:00:03Z,B738,TRA57M,32.0,41.789852,4.608381,37850,418,2,1100.0
1719126035,2024-06-23T07:00:35Z,B738,TRA57M,32.0,41.856281,4.612597,38000,421,2,300.0
1719126067,2024-06-23T07:01:07Z,B738,TRA57M,32.0,41.917465,4.616193,38000,420,2,0.0
1719126101,2024-06-23T07:01:41Z,B738,TRA57M,34.0,41.983974,4.619943,38000,421,2,0.0
1719126134,2024-06-23T07:02:14Z,B738,TRA57M,33.0,42.049381,4.623839,38000,421,2,0.0
1719126167,2024-06-23T07:02:47Z,B738,TRA57M,33.0,42.113205,4.627678,38000,420,2,0.0
1719126201,2024-06-23T07:03:21Z,B738,TRA57M,34.0,42.176926,4.631549,38000,421,2,0.0
